titulo,descricao,status,data,sentimento,falta_luz_status
Sobrecarregaram gerador com 2 prédios - falta de luz frequente,Toda semana acaba a luz aqui no prédio do Cond alfa barra 1. Prédio alfa Plaza(Rj - barra da Tijuca) Técnico de,Não respondida,2024-02-03,Negativo,falta de luz
"Fiz uma contestação com a Light, tanto na ouvidoria quanto no atendimento presencial (protocolo*******), a qual foi proferida, uma","Fiz uma contestação com a Light, tanto na ouvidoria quanto no atendimento presencial (protocolo*******), a qual foi proferida, uma",Não respondida,2024-02-03,Negativo,normal
DEMORA NA TROCA DA TITULARIDADE,"Estou tentando trocar a titularidade e não recebo nenhum retorno no email, fiz o primeiro pedido dia 12 de janeiro e o 2 foi dia 2",Não respondida,2024-02-03,Negativo,normal
Falta de luz,"No dia 31/01/2024 faltou luz na minha minha rua devido a um fio partido, por causa de uma árvore. Entrei de pronto em contat",Não respondida,2024-02-03,Negativo,falta de luz
Relógio pegou fogo,"Relógio pegou fogo novamente, os moradores tiveram que apagar com extintor. Era 8h da manhã entrando em contato com a light.",Não respondida,2024-02-03,Neutro,normal
Não tem como enviar comprovante de pagamento,"Paguei a minha conta de dezembro/23, mas eles não baixaram no sistema e ela consta como aberto ainda e não tem opção no Site Agenc",Não respondida,2024-02-03,Negativo,normal
COBRANÇA [Editado pelo Reclame Aqui] NUM IMÓVEL QUE NÃO TEM NINGUÉM MORANDO.,"Tenho uma amiga que tem uma casa em Anchieta no Rio de Janeiro o nome dela é Maria da Gloria, resolvi ajuda-la devido a covardia q",Não respondida,2024-02-04,Negativo,normal
Vivendo no escuro,Desde quarta feira 31/01/24 por volta das 16:20 a energia acabou depois de aguardar por alguns momentos e não ter o serviço restab,Não respondida,2024-02-04,Neutro,normal
Falta de energia elétrica - Empresa Magia Animal Raçoes e Acessorios - Estrada do Dende 1560 loja B - Ilha do Governador.,"Como é fato publico e notório, a região da Ilha do Governador, onde possuo um pequeno comercio de Pet Shop, vem sofrendo há muito",Não respondida,2024-02-04,Neutro,falta de luz
Contrato encerrado,segue o código de instalação*******Código do cliente32149518rua dois de fevereiro 1470 bl 3 apt 403,Não respondida,2024-02-04,Positivo,normal
Falta de luz e Recusa em fornecer os protocolos,"Liguei pra empresa diversas vezes relatando a falta de luz no imovel, todas as vezes me informavam que a equipe estaria vindo, mas",Não respondida,2024-02-04,Negativo,falta de luz
Sem luz a 3 dias,"Já solicitei o reparo no posto no dia 1 de Janeiro e até o momento ninguém compareceu para realizar o reparo, Nossa galeria",Não respondida,2024-02-04,Negativo,falta de luz
Nome no Serasa,Recebi hoje um comunicado do Serasa avisando que a empresa Light Serviços de Eletricidade solicitou abertura de cadastro negativo,Não respondida,2024-02-04,Neutro,normal
"Light deixa cliente 5 dias sem luz, com contas Pagas!","2 contas atrasadas. Dia 31/01/2024. A light corta a luz. Dia 01/02/2024 as contas são pagas. Entro no site da light, peço religaç",Não respondida,2024-02-04,Negativo,falta de luz
"Light e zoop, conta paga e nome negativado","Efetuei o pagamento da conta , conta esta retirada do site da light, e para minha supresa meu nome foi negativado, venho tendo res",Não respondida,2024-02-04,Neutro,normal
Aparelho danificado por conta do pico de luz,"No dia 02/02/2024, entre 19:00-19:30, houve um pico de energia que queimou o meu computador. Estou fazendo um chamado para que pos",Não respondida,2024-02-04,Negativo,normal
Residência sem energia elétrica.,Já tem mais de 15 dias que estou sem o fornecimento de energia.Fiz várias ligações com pedido de visita técnica e a empresa,Não respondida,2024-02-04,Neutro,falta de luz
Light instalou meu relógio em outro apartamento,"Dia 26/01/2024 solicitamos a instalação de um relógio no apartamento. Apartamento que nunca teve relógio instalado, as chaves fora",Não respondida,2024-02-04,Negativo,normal
Serasa,"Recebi hoje dia 2 de Fevereiro de 2024 uma notificação por e-mail no Serasa informando, que a light pediu a inclusão do meu nome g",Não respondida,2024-02-04,Negativo,normal
Impedimento de cancelar solicitação,"Fiz por acidente a solicitação do cancelamento do contrato vigente, imediatamente liguei para empresa para cancelar a solicitação",Não respondida,2024-02-03,Neutro,normal
Sobrecarregaram gerador com 2 prédios - falta de luz frequente,Toda semana acaba a luz aqui no prédio do Cond alfa barra 1. Prédio alfa Plaza(Rj - barra da Tijuca) Técnico de,Não respondida,2024-02-03,Negativo,falta de luz
"Fiz uma contestação com a Light, tanto na ouvidoria quanto no atendimento presencial (protocolo*******), a qual foi proferida, uma","Fiz uma contestação com a Light, tanto na ouvidoria quanto no atendimento presencial (protocolo*******), a qual foi proferida, uma",Não respondida,2024-02-03,Negativo,normal
DEMORA NA TROCA DA TITULARIDADE,"Estou tentando trocar a titularidade e não recebo nenhum retorno no email, fiz o primeiro pedido dia 12 de janeiro e o 2 foi dia 2",Não respondida,2024-02-03,Negativo,normal
Falta de luz,"No dia 31/01/2024 faltou luz na minha minha rua devido a um fio partido, por causa de uma árvore. Entrei de pronto em contat",Não respondida,2024-02-03,Negativo,falta de luz
Relógio pegou fogo,"Relógio pegou fogo novamente, os moradores tiveram que apagar com extintor. Era 8h da manhã entrando em contato com a light.",Não respondida,2024-02-03,Neutro,normal
Não tem como enviar comprovante de pagamento,"Paguei a minha conta de dezembro/23, mas eles não baixaram no sistema e ela consta como aberto ainda e não tem opção no Site Agenc",Não respondida,2024-02-03,Negativo,normal
Uma vergonha essa empresa#,"Todo santo dia virou hábito de acabar a luz..estamos sem luz...não aguento mais,não está chovendo nem relampejando todo dia acaba",Não respondida,2024-02-03,Neutro,normal
Sem energia desde o dia 31/01/2024,"Boa noite . Estou sem energia ja a quase 3 dias , é desumano o que essa empresa esta fazendo com os consumidores . Ramos na Av dos",Não respondida,2024-02-03,Neutro,falta de luz
Dificuldade na troca da titularidade,"Acabei de alugar um apartamento, cujo código de instalação é******* e estou tentando fazer a troca de titularidade pra religar a e",Não respondida,2024-02-03,Neutro,normal
cobrança abusiva na fatura,recebi uma fatura com consumo 6 vezes maior do que o meujá fiz reclamação na ouvidoria que informou não haver nenhum sinal d,Não respondida,2024-02-03,Neutro,normal
Estou sendo cobrado por uma conta que já paguei.,"Minha conta venceu no dia 20 de dezembro 2023, paguei no dia 2 de janeiro de 2024,:e consta no sistema que tenho esse débito. No d",Não respondida,2024-02-03,Negativo,normal
PAGUEI UMA CONTA ACESSANDO UM SITE DE EMISSÃO DE SEGUNDA VIA DA EMPRESA E DEPOIS DESCOBRI QUE HAVIA SOFRIDO UM [Editado pelo Reclame Aqui],"No dia de 07/12/2023, realizei o pagamento de uma conta da ligth no valor de R$ 370, 93 (trezentos e setenta reais e noventa e trê",Não respondida,2024-02-03,Negativo,normal
Energia caindo toda noite,"Toda noite a energia simplesmente caí, oscila o tempo inteiro. A luz fica piscando o tempo inteiro, fica tão baixa que é impossíve",Não respondida,2024-02-03,Neutro,normal
Falta de Luz Ilha do governador (4),Falta de luz Estou tendo falta de luz frequente no meu bairro.Irei registrar uma reclamação para cada falta de l,Não respondida,2024-02-03,Positivo,falta de luz
Falta de agendamento para serviço de alteração de carga,"Dia 17/01/24 fui a light pedir alteração de carga, já estava tudo pronto em casa de acordo com padrão light exigido. Ao fazer a so",Não respondida,2024-02-03,Neutro,falta de luz
Poda de Árvore,"Na Rua Luis Vahia Monteiro na altura do número 138, no Jardim Guanabara, Ilha do Governador, tem uma árvore que se encontra junto",Não respondida,2024-02-03,Negativo,normal
Poda de Árvore,"Na Rua Luis Vahia Monteiro na altura do número 138, no Jardim Guanabara, Ilha do Governador, tem uma árvore que se encontra junto",Não respondida,2024-02-03,Negativo,normal
Falta de luz recorrente,Falta luz no bairro de campo grande recorrentemente. Várias vezes ao dia o fornecimento e interrompido e esse problema já se esten,Não respondida,2024-02-03,Negativo,falta de luz
A LIGHT ESTÁ FALINDO?,"Sou cliente da Light a mais de 40 anos, mas o respeito e a consideração com os seus consumidores é menos que zero.E isso aco",Não respondida,2024-02-03,Neutro,normal
QUEDA DE LUZ E QUEIMA DE ELETRODOMÉSTICO,"No meu condomínio costuma ter muitas quedas de luz e dentre uma dessas quedas a minha televisão pifou. Abri protocolo, fiz orçame",Não respondida,2024-02-03,Negativo,normal
FALTA DE RESPEITO,"Sou morador da Rua Uruguai a mais de 30 anos, do numero 1572, ao lado do Tijuca Country. Sempre tivemos faltas constantes de luz,",Não respondida,2024-02-03,Neutro,falta de luz
Aumento de carga para trifásico,"Eu e minha esposa, minha enteada e meu netinho autista moramos em nossa casa, no dia 05 de janeiro de 2024 e fi",Não respondida,2024-02-03,Negativo,normal
FALTA DE BAIXA EM PAGAMENTO,"oa tarde,Realizei o pagamento da conta referente ao mês de janeiro de 2024 em 18/01/2024, porém ainda consta como pend",Não respondida,2024-02-03,Neutro,falta de luz
Poste caído há dois dias e estou sem luz,"Poste caiu próximo a minha residência a light esteve no local mexeu o poste continuou no chão o poste ,eu estou sem luz a dois dia",Não respondida,2024-02-03,Negativo,falta de luz
Cabo cortado,Estou sem débito.estou a mais de 10 dias ligando para a light solicitando que religuem o cabo cortado. Até o momento só enviam car,Não respondida,2024-02-03,Neutro,normal
Risco iminente de acidente,"Cabos energizados cruzando a rua com altura do asfalto em torno de 3,5 metros devido ao desprendimentos das abraçadeiras de fixaçã",Não respondida,2024-02-03,Neutro,normal
Cobrança exorbitante da conta de luz,"Me mudei há 3 meses, e em nov e dez a minha conta de luz veio no valor coerente aos meus gastos de energia. Eis que recebo a",Não respondida,2024-02-03,Negativo,normal
A Light ameaça seus clientes sem razão,A concessionária de energia elétrica Light envia os dados de seus clientes para o SERASA sem qualquer outro tipo de contato. Minha,Não respondida,2024-02-03,Neutro,falta de luz
Conta com leitura estimada (GD),Foi realizada a troca do medidor para o bidirecional na data 20/12/2023. Emitiram uma fatura com leitura do dia,Não respondida,2024-02-03,Neutro,normal
SEM LUZ A DIVERSOS DIAS E DEMORA NO RELIGAMENTO,Venho por meio desta reclamação relatar que estou tendo problemas relacionados ao serviço da LIGHT. Foi solicitado na terça-feira,Não respondida,2024-02-03,Neutro,falta de luz
Condomínio sem luz,"Estamos com uma fase desbalanceada e com isso parte do prédio está sem luz, assim como os elevadores estão parados bem como a bomb",Não respondida,2024-02-03,Negativo,falta de luz
Produtos estragados,"Caros, estou a mais de 24horas sem uma fase da energia, e o meu freezer não funciona, os produtos da minha loja estragaram, e não",Não respondida,2024-02-03,Neutro,normal
Equipamento Queimado,"Em virtude da falta de luz em Copacabana no dia 28/01/24, minha TV parou de funcionar . Chamei a assistência técnica da Samsung qu",Não respondida,2024-02-03,Negativo,normal
Não consigo acessar o portal da light para verificar minha dívida,"A light está me cobrando uma dívida, não consigo acessar o portal para verificar minha dívida, sempre apresenta erro.",Não respondida,2024-02-03,Neutro,normal
Falta de Luz por problema de cabo queimado na rua.,Estou sem luz desde a madrugada do dia 31/01 devido um curto no poste na rua que acabou danificando o cabo de energia da light que,Não respondida,2024-02-03,Negativo,falta de luz
Troca de E-mail,"Bom dia, venho aqui indignada pois estou a 2 meses tentando trocar o e-mail para que eu possa entrar no app e não consigo. É um ab",Não respondida,2024-02-03,Negativo,normal
Falta de luz na ilha do governador tv queimou.,"Ontem, 01.02.24 a ilha do governador sofreu mais uma vez com a instabilidade de luz. Por todo dia a luz chegava e caia o tem",Não respondida,2024-02-03,Neutro,falta de luz
Cobrança desproporcional de taxa mínima,"Tenho um imóvel que neste momento não está sendo utilizado e sou cobrada R$ 106,00 referente a 100 kw somente por ser um imóvel tr",Não respondida,2024-02-03,Neutro,normal
SEM LUZ HÁ 48 HORAS,"Estou há dois dias sem energia elétrica! Fiquei sem luz, chamei um eletricista e ele me informou que meu relógio estava em curto.",Não respondida,2024-02-03,Neutro,falta de luz
Light não concede bolero de acordo,"Fiz uma negociação de contas abertas, pelo aplicativo da light, conforme orientações do WhatsApp que na verdade não te ajuda em na",Não respondida,2024-02-03,Neutro,normal
SISTEMA DE RECLAMAÇÕES LIGHT NÃO REGISTRA AS SOLICITAÇÕES DOS CLIENTES,"Sou beneficiário do CADÚnico e a empresa Light retirou dos meus registros a inscrição na TARIFA SOCIAL, sem motivo algum, porque m",Não respondida,2024-02-03,Neutro,normal
Empresa displicente com chaperó,O bairro de chaperó na gleba A sofre há anos com o descaso da empresa light. São várias ruas que ficam sem luz a qualquer hora do,Não respondida,2024-02-03,Neutro,normal
NÃO RECEBIMENTO DE FATURA COMPLETA,Há muito a empresa deixou de me enviar as faturas impressa ou por email. Quando tendo obter pela Agência Virtual não consigo aces,Não respondida,2024-02-03,Neutro,normal
Aumento de luz dobrado,"Meu histórico de consumo da light sempre vinha no máximo 300kwh. De novembro pra cá, mesmo não mudando nada em casa, meu histórico",Não respondida,2024-02-03,Negativo,normal
Relógio Velocista,Sou cliente da light há mais de 10 anos em 4 imóveis diferentes. A light possui meu histórico de consumo de 10 anos.No,Não respondida,2024-02-03,Neutro,normal
Queda de luz,"Hoje, 02/02/2024, estou com minha geladeira desligada, com risco de meus alimentos estragar porque o fornecimento de energia está",Não respondida,2024-02-03,Neutro,normal
Cobrança não chega,"Todo mês é uma luta para tentar pegar a conta de luz, a conta não chega ao meu endereço o WhatsApp que era o meio mais simples de",Não respondida,2024-02-03,Neutro,normal
Sem luz,Estou sem luz na minha loja desde terça feira dia 30/01 de manhã. Tenho um monte de protocolos e não me atendem! As atendentes diz,Não respondida,2024-02-03,Neutro,falta de luz
Falta de energia e descaso com o cliente,"Estou sem energia desde o dia 31/01/2024, onde quando tem aparece oscilando, ou seja é um problema na fase. Foi detectado que um g",Respondida,2024-02-03,Neutro,falta de luz
Conta paga consta em aberto,"A conta com vencimento de dezembro foi paga, tendo boleto emitido no próprio site da empresa, veio o boleto junto com a conta. A c",Respondida,2024-02-03,Negativo,normal
"Novamente aqui sobre o mesmo assunto, preciso do envio da última parcela do meu acordo","Tenho um acordo que foi feito em 7x, já paguei 6 parcelas, preciso do envio da última e a light não me encaminha, novamente abrind",Não respondida,2024-02-03,Neutro,normal
48 horas sem luz,"Prezados, já estamos a quase 48 horas sem luz, por um problema que já vem acontecendo com frequência, infelizmente fazem o reparo",Respondida,2024-02-03,Neutro,falta de luz
Ligacao direta,Ligação direta aparente em dois imóveis localizados dentro de um condomínio situado na Estrada das Agulhas Negras,Não respondida,2024-02-03,Neutro,normal
Minha energia em uma fase a ponto de queimar eletrodomésticos,"Boa tarde ,estou desde o dia 21/12/2023 com queda de energia, fica só em uma fase ,antes era só em tempo de muito calor,agora no t",Respondida,2024-02-02,Negativo,normal
Mato esbarrando na fiação,"Tentei registar emergência no próprio site da light, porém está aparecendo que está com erro no servidor, devido o mato está esbar",Respondida,2024-02-02,Negativo,normal
Pix do site,"Entrei no site da light e copiei o pix para efetuar o pagamento, efetuei e está no nome de uma JMM Investimentos e o valor não foi",Respondida,2024-02-02,Negativo,normal
Falta de luz na Ilha do Governador,"É um descaso o que a Light está fazendo com a Ilha do Governador durante a ""manutenção"" que está ocorrendo há mais de um",Respondida,2024-02-02,Neutro,falta de luz
Duplicidade de pagamento,"Boa noite, Fiz o pagamento de conta referente ao mês 11/2023 duas vezes. O pagamento em duplicidade foi feito di",Não respondida,2024-02-02,Neutro,normal
Alterar e-mail e telefone no perfil de usuário.,"Preciso com urgência alterar o e-mail e telefone cadastrado no perfil de usuário na agência virtual do meu pai. Como ele é idoso,",Não respondida,2024-02-02,Negativo,normal
Conta errada cód.cliente 21392071,Coloquei energia solar em minha residência e pra minha surpresa a primeira conta não veio abatendo a energia gerada pela minhas pl,Respondida,2024-02-02,Neutro,normal
Nome no SPC,"Meu nome está no SPC já tem 1 mês como no meu endereço tem 3 instalações, 1 no meu nome e duas no nome do meu marido, e a do meu m",Respondida,2024-02-02,Negativo,normal
Oscilação de Luz,Sou proprietária do imóvel e no prédio tem 4 relógios no qual em um a energia está no nome do meu marido Gilmar Garcia Gonçalves c,Não respondida,2024-02-02,Negativo,normal
Cortaram minha luz cobrança [Editado pelo Reclame Aqui],"Cortaram minha luz por duas vezes com a conta paga, estão me cobrando uma conta de mês 11/2023 a conta foi paga por pix e eu já li",Não respondida,2024-02-02,Neutro,normal
Dano no celular - Limitações nas opções de ressarcimento de eletros,"Entre 2h30 da manhã e 3h30, houveram algumas quedas de energia, presenciei 3 quedas pois estava assistindo TV, ambas levaram pouco",Respondida,2024-02-02,Neutro,normal
Light [Editado pelo Reclame Aqui] o consumidor pagante,"No dia 30 de janeiro de 2024, a light interrompeu o fornecimento indevidamente do meu apartamento. Sem qualquer aviso ou justifica",Respondida,2024-02-02,Negativo,normal
Falta de energia constante.,Sou morador da cidade de Paracambi RJ e venho por meio desta deixar minha indignação devido às constantes falta de energia na cida,Respondida,2024-02-02,Neutro,falta de luz
Consumo alteração,"É impossível que minha conta de luz do mês de dezembro e janeiro estejam no valores de 720,31 e 420,00, pois meus consumos são sem",Respondida,2024-02-02,Negativo,normal
Ameaça de colocação do nome no serasa,"Ainda não fez um mês que a minha conta atrasou eles já estão me comunicando que irão negativar o meu nome, colocando o meu nome n",Respondida,2024-02-02,Neutro,normal
ESTOU SEM LUZ DESDE O DIA 16/01/24,"Ja entrei em contato com a ouvidoria, eneel e nada resolveram. estou sem luz em minha residência desde o dia 16/01/24 . a ouvidori",Respondida,2024-02-02,Neutro,falta de luz
Conta Caríssima e Atendimento Ruim,"Por volta do dia 20 de janeiro, A conta com vencimento para o mês de fevereiro, veio com o valor cerca de 5/6 vezes o valor habitu",Respondida,2024-02-02,Neutro,normal
Contas abusivas e dano de equipamento,Já há alguns meses venho realizando reclamações recorrentes junto a Light por conta de consumo acima do valor. Ocorre que eles sem,Respondida,2024-02-02,Neutro,normal
Divergência na medição,Venho por meio desta informar que o senhor marcador de luz esteve no dia 29/01/2024 fazendo a marcação e o mesmo não ágil de boa f,,2024-02-02,Negativo,normal
Cobrança [Editado pelo Reclame Aqui] e Conta paga,Venho requerer a esta companhia de energia Eletrica retire da minha conta o Art 323 - FAT sendo cobrado de maneira vexatória pois,Respondida,2024-02-02,Neutro,normal
Cobrança [Editado pelo Reclame Aqui],"Fiz um acompanhamento e observei que de acordo com o meu histórico de consumo, a light em janeiro de 2024 cobrou um valor absurdo",Respondida,2024-02-02,Neutro,normal
COBRANÇA [Editado pelo Reclame Aqui] - MEDIDOR COM ESTIMATIVA DE LEITURA ABSURDA!!,"Estou reclamando de um conta absurda que a cada mês é uma surpresa, onde um mês diz que não tive consumo e geração alguma e no out",Respondida,2024-02-02,Negativo,normal
"Bairro de cavalcante rj abandonado pela light, quedas de luz do nada","Sou morador de cavalcante rj e desde o verão do ano passado a rede eletrica da região virou uma piada, quedas de luz constantes no",Respondida,2024-02-02,Negativo,normal
Cobrança absurda,"Boa tarde a Light enviou segundo fui informada por telefone informações para meu email no qual não estou conseguindo acesso, gost",Respondida,2024-02-02,Negativo,normal
Light,"Boa tarde! Venho por meio desta reclamar dos serviços da light, a mesma no dia 14/01/2024 mexeu na caixa de luz do poste e desde e",Respondida,2024-02-02,Negativo,normal
Demora no atendimento,"Fiz uma reclamação com a emergência da light, pois os dois cabos positivos que vem do poste da light, para o meu, estão quase enco",Respondida,2024-02-02,Neutro,normal
Nao existe fale conosco na agência virtual,"Tive minha conta juntada por um erro da própria light , que nao sei como ( conseguiram fazer isso) passaram nome de meu vizinho na",Não respondida,2024-02-02,Neutro,normal
Fio cortado do poste até a minha casa e a Light,"Eu tenho três fases na minha casa. Mas, desde que comprei o meu imóvel no ano passado eu tenho vivido com apenas duas fases, pois",Respondida,2024-02-02,Negativo,normal
Transformado,Estamos com um transformador na rua instalação mal colocado Rua Silva Cardoso 172 em frente a superlar de bangu,Não respondida,2024-02-02,Neutro,normal
Funcionários vieram fazer instalações de relógio compraram comida e não pagaram,Dois de alguns funcionários que fizeram instalação na santa Maura 190 compraram comida e não pagaram o valor total do pedido.,Não respondida,2024-02-02,Neutro,normal
Light não resolve problemas de fase,"Estamos com problema de fase no predio da ******* em Vaz lobo (21361-090) há DIAS. DIIIIIIIIIIIIAS! Eletrodomésticos já pifaram, q",Respondida,2024-02-02,Negativo,normal
Falta de Luz Ilha do governador (3),Falta de luz Estou tendo falta de luz frequente no meu bairro.Irei registrar uma reclamação para cada falta de luz.,Respondida,2024-02-02,Negativo,falta de luz
"Falta de luz na Rua Moura Brito, Tijuca devido a um problema num transformador. Moradores reclamando há quase 48 horas sem atendimento.","Defeitos reincidentes no transformador da Rua Moura Brito, na Tijuca, deixam moradores sem luz há quase 48 horas. Apesar das recla",Respondida,2024-02-02,Negativo,falta de luz
Site não funciona,Entrei no site para gerar um pedido de emergência e quando manda registrar dá erro de erro server assim fica difícil. Mais na h,Respondida,2024-02-02,Negativo,normal
Problemas na conta de luz,"Minha conta estava vindo todos os meses um valor, constando na conta que estava sendo cobrado o consumo por LEITURA ESTIMADA. Agor",Respondida,2024-02-02,Neutro,normal
Prédio há 15 dias sem luz,O prédio onde moro localizado na Rua da Chita em Bangu está com problema coletivo de falta de luz há 15 dias sem luz a bomba de ág,Respondida,2024-02-02,Neutro,falta de luz
20h SEM ENERGIA!!,Estamos com problema crônico no Residencial Vila Verde (Estrada do morro cavado 2270- Guaratiba-RJ). Todos os dias temos quedas de,Respondida,2024-02-02,Negativo,falta de luz
Constrangimento,"Prezados senhores,Na data de 01/02/2024 recebi no meu prédio um funcionário uniformizado da light com um documento de cobran",Respondida,2024-02-02,Negativo,normal
Cobrança [Editado pelo Reclame Aqui],"Boa tarde, tudo bem? No dia 18/11/2023, às 15:14, conforme sempre fiz retirei pelo aplicativo whatsapp Light Clientes o código de",Respondida,2024-02-02,Negativo,normal
Cobrança [Editado pelo Reclame Aqui] por Inadimplência de Terceiros,"Sou idoso com 61 anos de idade, cheio de comorbidades e problemas sérios de saúde. Hoje, ao abrir o app do Serasa, tomei nota de q",Não respondida,2024-02-02,Neutro,normal
Religamento de luz,"Cortaram a minha luz por duas contas que nao estavam no meu nome e nao foram passadas a mim pra serem pagas, no imovel que recente",Respondida,2024-02-02,Negativo,normal
Não deram baixa na conta paga,"A light está me perseguindo, não é possível tanta incompetência. Paguei a conta de luz referente ao mes de dezembro/2023 no dia 15",Respondida,2024-02-02,Negativo,normal
Mais de 14h sem energia elétrica,"Bairro da Freguesia, Jacarepaguá, encontra-se desde 19:30h do dia 31/01/2024 até 12:21h, do 01/02/2024, presente momento sem forne",Não respondida,2024-02-02,Neutro,falta de luz
Tenho Um apartamento em bangu na Rua bela flor-99 apartamento 501 que está sem luz.,Estou sem luz ha 5 meses e a light não resolve nada tem que fazer uma religação do poste para dentro do pc do prédio ja foram vari,Respondida,2024-02-02,Positivo,falta de luz
Cobrança 370% acima da média histórica e a empresa diz que não!,"Fiz a reclamação inicial, no canal online da Light, indicando que o valor da cobrança estava completamente discrepante. Recebi uma",Não respondida,2024-02-02,Negativo,normal
Falta de energia elétrica na maioria dos cômodos da minha residencia,"No domingo dia 28/01/2024, durante a forte chuva que caiu aqui no meu bairro, Freguesia - Jacarepaguá houve vários picos de energi",Respondida,2024-02-02,Negativo,falta de luz
falta de energia problema transformador,Ocorre que na falta de luz no meu prédio e outros três por problema no transformador a Light tem que entrar no prédio vizinho que,Respondida,2024-02-02,Negativo,falta de luz
Aumento de carga não concluído,"Pedi um aumento de carga no dia 24/01 e no sistema o prazo final para concluir o serviço era dia 31/01/2024 no caso ontem, eles nã",Não respondida,2024-02-02,Negativo,normal
Luz piscando,"Durante a ultima semana de janeiro de 2024, e hoje dia 01/02/2024, a luz tem piscado constantemente. Acaba luz e volta em 30 segun",Respondida,2024-02-02,Neutro,normal
12 quedas de Luz em 24 hs,"Está constante as quedas rápidas de luz. Mas nas últimas 24 hs. Aconteceu 12X, quero saber quem vai pagar meus equipamentos quando",Respondida,2024-02-02,Neutro,normal
Picos de energia,"Desde ontem, dia 31/01/2024 estou tendo muitos picos de energia o dia inteiro que infelizmente se estenderam para o dia de hoje 01",Não respondida,2024-02-02,Neutro,normal
Paguei duas vezes a mesma conta e não consigo contato para acertar,"Tenho duas instalações no meu nome, estou falando aqui a instalação no meu apartamento, endereço da *******, no condomínio. Pague",Respondida,2024-02-02,Negativo,normal
PAGAMENTO EM DUPLICIDADE,"Minha conta vence dia 05 e esta registrada no debito automático, em janeiro a conta não foi debitada e realizei o pagamento atravé",Respondida,2024-02-02,Negativo,normal
DEMORA NO PROCESSO DE AUMENTO DE CARGA PARA DOIS MEDIDORES,Bom dia.Fiz um pedido para solicitar DOIS AUMENTO DE CARGA em um PC que reformamos conforme solicitado.A L,Não respondida,2024-02-02,Positivo,normal
Enganada,"Esteve na minha porta um representante da light, operador 2265282, trazendo na mao uma maquininha e falou q vinha cortar minha luz",Respondida,2024-02-02,Neutro,normal
cobrança acima do usado,"Possuo uma casa na Rua Bucareste 813 casa 1 VigarioGeral, com o código de instalação da Light*******, com o nome do cliente Elinia",Respondida,2024-02-02,Neutro,normal
Parcelamento de débitos,Cortaram minha luz e eu queria parcelar os débitos para conseguir quitar e restabelecer minha energia pois tenho criança pequena e,Não respondida,2024-02-02,Neutro,normal
